cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.086480909968075892e+01,8.660982827476371160e-01,9.995034052036558814e-01
9.686584924522625428e+00,8.626907539480135334e-01,9.996451003610594688e-01
8.825257240368038936e+00,8.586925270412899547e-01,9.999058663059102736e-01
8.214244764668443111e+00,8.546776965599914844e-01,9.999991178653685475e-01
7.720407533168281766e+00,8.489974905047612541e-01,9.999349774179601136e-01
7.243221678203117797e+00,8.502907803150658861e-01,9.998914344112149744e-01
6.782509659164409399e+00,8.563548807706259369e-01,9.999229440933583568e-01
6.373982302078100126e+00,8.591914477179960485e-01,9.999769661056899794e-01
6.047669470310868434e+00,8.600254177638231301e-01,9.999996946647710105e-01
5.814770819189445383e+00,8.619001844021432213e-01,9.999955327141832884e-01
5.654578083508617681e+00,8.665316934246233282e-01,9.999955511890925575e-01
5.521472484380735679e+00,8.744171095542734307e-01,9.999996425803280298e-01
5.377236969643753639e+00,8.790410853760838306e-01,9.999705041085618085e-01
5.212200167295746311e+00,8.852912695116453845e-01,9.998591213832400681e-01
5.039275466530633629e+00,8.948783110563504062e-01,9.996179309569603877e-01
4.874072992947779071e+00,9.052773095148404225e-01,9.992048998363313173e-01
4.724253207559245382e+00,9.131247951014106468e-01,9.985840598331447993e-01
4.588788844232150055e+00,9.200675949264940368e-01,9.977495229000217236e-01
4.460902372293973350e+00,9.263413331301388887e-01,9.967139380351709432e-01
4.333503640703392001e+00,9.283738728595546386e-01,9.955118721974302032e-01
4.203312214155825899e+00,9.269158892808484485e-01,9.941605547088362416e-01
4.070232925455325557e+00,9.218251293775867605e-01,9.926257623654998197e-01
3.933677060004884041e+00,9.139159158047106546e-01,9.908294265381185628e-01
3.791509160267769296e+00,9.036221140349359748e-01,9.886814366453913205e-01
3.642327503953888268e+00,8.900106476142525258e-01,9.860893901992340282e-01
3.487537223605340131e+00,8.730751364706923479e-01,9.828544596215418316e-01
3.329824982638996733e+00,8.533636418401179258e-01,9.787555164373981098e-01
3.170176243190298226e+00,8.305697004129667382e-01,9.735130467285302291e-01
3.005135815597892002e+00,8.047333400931010461e-01,9.668011465204302546e-01
2.827879883762163260e+00,7.801690992834481309e-01,9.583279636284133263e-01
2.635954936972905838e+00,7.567187355422759776e-01,9.479800618185898475e-01
2.439052285387199870e+00,7.336896234097947112e-01,9.358926126980318116e-01
2.253202343607054736e+00,7.119369832097920403e-01,9.224469493664689823e-01
2.087034689840149504e+00,6.912376336302070712e-01,9.082588223140691808e-01
1.934470484113460786e+00,6.705113420226601617e-01,8.938950273054696583e-01
1.781560377530350348e+00,6.555513016452421127e-01,8.795433003068681144e-01
1.624281035669847162e+00,6.468367807545851722e-01,8.650751681459627473e-01
1.475410341268309500e+00,6.402431871996338009e-01,8.499908167651892832e-01
1.352796702564256215e+00,6.372882581873349217e-01,8.332474009070310883e-01
1.263358416738590506e+00,6.414135950934044539e-01,8.141739834482616400e-01
1.197274796856989898e+00,6.482307267352482860e-01,7.925982734561897169e-01
1.137815409286198065e+00,6.513952680868669853e-01,7.690404122274824283e-01
1.073820976998164811e+00,6.374141764113919750e-01,7.446280731346557324e-01
1.003896254270015387e+00,6.180762692200457709e-01,7.208175477161881117e-01
9.323633512837414816e-01,5.984976723222074080e-01,6.984414546688093584e-01
8.639305863824411347e-01,5.835644066608342007e-01,6.780029859500663614e-01
8.010785480968888317e-01,5.662854007655909738e-01,6.593766325476031476e-01
7.454277553834892656e-01,5.499348529337657610e-01,6.422459503382854651e-01
6.981073645127451321e-01,5.362754169098457036e-01,6.262814373395537704e-01
6.586606300905833988e-01,5.249319223977443327e-01,6.110066445913996391e-01
6.231384335742027325e-01,5.145041217749558582e-01,5.960110930400692730e-01
5.862607740451690752e-01,5.046932843385744105e-01,5.808602043041354301e-01
5.458067473164535111e-01,4.947998136809151348e-01,5.653585818342179437e-01
5.036069014879054340e-01,4.849820915612252925e-01,5.499196934813925797e-01
4.620755867918668880e-01,4.758798776715273404e-01,5.351938210242329630e-01
4.227957991746466582e-01,4.678668510989170692e-01,5.214470390539170941e-01
3.875043801748747629e-01,4.603745801033586882e-01,5.083030543903009901e-01
3.583958220422744367e-01,4.526982373928801207e-01,4.950490858262455163e-01
3.354275075781989468e-01,4.460573037251501782e-01,4.809671368171640204e-01
3.155754567286473411e-01,4.389228293915859447e-01,4.656718653841729338e-01
2.964011765255210595e-01,4.314219666676669673e-01,4.491463467059335080e-01
2.786173776071075303e-01,4.234490031455453440e-01,4.325821426530226388e-01
2.643034441917126443e-01,4.162764022415993970e-01,4.167824610557860909e-01
2.536368340491422790e-01,4.069544554671691849e-01,4.022743613272349306e-01
2.454337618853107417e-01,3.963787181640189283e-01,3.890866161606694740e-01
2.388099934894896137e-01,3.842571000042924734e-01,3.770983008348706145e-01
2.335028148771276513e-01,3.720987529839119845e-01,3.656020560577613043e-01
2.285061172714867306e-01,3.596498045630577289e-01,3.537870218300906422e-01
2.223594054507589124e-01,3.462688375700152532e-01,3.410395563626695270e-01
2.147216666176013922e-01,3.309336269037352896e-01,3.263718255477117691e-01
2.063253285459533126e-01,3.135786116850369232e-01,3.097002946173394999e-01
1.976687666686323119e-01,2.941326354318241076e-01,2.909344236498868641e-01
1.886654378948033062e-01,2.730301388940640228e-01,2.704740291861656432e-01
1.799689198709368276e-01,2.510881933331616245e-01,2.491015936772298656e-01
1.727941390663114696e-01,2.292602420007851804e-01,2.277490139764064836e-01
1.676065496197259586e-01,2.083168993372201405e-01,2.071838045128288064e-01
1.636643733456787375e-01,1.888762650278697219e-01,1.880321264537415937e-01
1.601901602134150893e-01,1.715205113133467796e-01,1.708885958948927197e-01
1.573109488048640148e-01,1.571514405765165878e-01,1.566655516305095197e-01
1.549700456506712676e-01,1.462401174193545816e-01,1.458486539369954482e-01
1.527033484495104732e-01,1.392019045200781902e-01,1.388643278187851049e-01
1.501328612096687054e-01,1.361718589006532254e-01,1.358558667442555101e-01
1.476897487473760595e-01,1.371844480712974268e-01,1.368613484976769212e-01
1.458488970933471962e-01,1.414962704962517692e-01,1.411417107250831915e-01
1.445173080005626720e-01,1.476913505752879274e-01,1.472881060450182134e-01
1.432040055377392929e-01,1.542915010267123244e-01,1.538316854868632122e-01
1.416261165461810967e-01,1.600245048050097096e-01,1.595114470605361046e-01
1.396087877226581675e-01,1.644577602230125335e-01,1.639008193062444496e-01
1.372482533797750315e-01,1.673641196971111800e-01,1.667770909125069478e-01
1.347966868691432007e-01,1.689957223932717356e-01,1.683913363370598826e-01
1.324556202006407779e-01,1.693174170051475746e-01,1.687095687504032160e-01
1.301641248681270346e-01,1.683983151660174427e-01,1.678003236450275326e-01
1.277725110596557301e-01,1.659646521014788156e-01,1.653962778427034985e-01
1.253712902228352744e-01,1.621722934409262629e-01,1.616498159175336069e-01
1.231375349409629116e-01,1.574548847542503738e-01,1.569748263088996398e-01
1.211175272359180100e-01,1.521011213988236188e-01,1.516606308614991128e-01
1.193463255853922933e-01,1.463699170026159790e-01,1.459774092956101499e-01
1.178846964776091716e-01,1.406274662363654337e-01,1.402794029175130075e-01
1.168079889762149853e-01,1.355222153424913423e-01,1.352107276627534105e-01
1.159627142380024317e-01,1.311520094291268035e-01,1.308697148722808845e-01
1.150844629599002966e-01,1.273394556276402911e-01,1.270810869931705556e-01
1.139424865426828803e-01,1.239531616559790828e-01,1.237148745828012264e-01
1.125352243913565753e-01,1.206756335794309104e-01,1.204557642785311078e-01
1.110129691741183477e-01,1.177074398509235925e-01,1.175034078366877371e-01
1.096332997436817308e-01,1.152110522257686898e-01,1.150197353933652272e-01
1.084846942212751991e-01,1.130639076562590661e-01,1.128830947654734379e-01
1.074133083448506609e-01,1.108553806857793533e-01,1.106849631449367682e-01
1.063196842988493318e-01,1.083327635576743359e-01,1.081737228186853417e-01
1.052023506032807171e-01,1.054735612057556282e-01,1.053332735597992814e-01
1.040434168885469440e-01,1.021585385934046242e-01,1.020608488055545215e-01
1.028969874414067537e-01,9.848760140768346438e-02,9.845685731590224365e-02
1.017761444489017064e-01,9.470211656665847300e-02,9.479399060788186449e-02
1.007316364047702306e-01,9.104485185271313230e-02,9.132778229551231919e-02
9.973110389081346616e-02,8.779590230882065860e-02,8.837549500316380091e-02
9.872065198941008812e-02,8.508964673513830235e-02,8.611047882366650030e-02
