cost,L2,trace
1.357163233133833380e+01,9.381378118117174036e-01,9.975229876090427883e-01
1.393322487829450829e+01,9.201310204380269697e-01,9.981971394444029144e-01
1.515056996882102780e+01,7.961069037894799028e-01,9.989446441795708509e-01
1.387527174471629010e+01,9.059620467685094436e-01,9.965455803292239123e-01
1.317290774873133685e+01,9.377713717651019465e-01,9.951109799226275365e-01
1.307824734792708554e+01,8.972393780362412086e-01,9.928202680690804138e-01
1.397796033292907047e+01,8.379189537025449885e-01,9.968543550620306837e-01
1.040447859908977790e+01,8.967313131699199413e-01,9.895948113316178629e-01
1.139854338212099805e+01,8.431173963360013568e-01,9.928102347161227303e-01
1.201583258381334218e+01,8.482126331189224766e-01,9.929712846305536189e-01
1.081519884285555655e+01,8.600769029358197315e-01,9.983830106283275718e-01
1.089529142615772273e+01,8.202595581538235647e-01,9.881825375366776187e-01
1.049641803226911740e+01,7.896647830609457852e-01,9.989955688418650226e-01
9.055460037235445014e+00,8.945032637939389630e-01,9.859834590142244615e-01
1.090947385385999979e+01,8.635732459397343908e-01,9.905403346166656853e-01
1.061654470395653149e+01,8.685979278150613991e-01,9.985642918483074171e-01
8.719588434030221435e+00,8.672058288304185236e-01,9.252926801563193804e-01
1.017463778214268544e+01,8.759994259866689115e-01,9.911091547587459472e-01
7.926436826186114004e+00,7.545274513747810552e-01,8.205380370136760027e-01
1.046248745699676164e+01,7.888476204003626036e-01,8.940680652808962181e-01
7.221554320776541580e+00,6.705871664227190942e-01,8.496444958480818821e-01
8.819729278460121336e+00,6.794244615655009589e-01,8.986167350068695603e-01
7.870565139524480891e+00,7.131926503169006004e-01,8.843141638168688923e-01
7.299108383325873639e+00,6.616629930104089841e-01,9.428602487845650915e-01
7.169275230194106285e+00,6.269154917421355666e-01,8.341970361055526251e-01
1.093266450566308023e+01,6.982716381001163874e-01,9.085735070393980983e-01
1.079658269393437564e+01,6.928151635391752716e-01,9.180256774246282614e-01
8.657071482415835462e+00,6.310242872578435414e-01,8.523603992186881140e-01
7.879530344195824654e+00,6.660802534519983942e-01,9.111612656240221098e-01
7.371461750954547476e+00,7.136698725671966059e-01,8.871716480055034104e-01
7.278653241345942604e+00,6.517481679542711515e-01,9.163128709039067843e-01
4.372486066209187783e+00,6.121579313193595828e-01,7.114034640641280216e-01
6.432038206204618191e+00,6.538303332931980627e-01,8.189368134824458467e-01
4.057693642854342642e+00,6.433400745820794242e-01,7.154109094695806359e-01
4.188704790555348723e+00,6.225980144336608069e-01,7.064797094269914535e-01
3.950525376871071082e+00,6.154076859811847822e-01,7.087621570284673433e-01
5.544710554069331110e+00,7.089130234302487565e-01,7.941147734074425202e-01
4.970605065795338007e+00,6.492785116751739194e-01,7.486579070395922297e-01
6.764628040982509916e+00,7.240904719480614204e-01,8.408306645511377519e-01
3.676552988514805609e+00,5.887253448666268651e-01,7.080334578623983521e-01
4.782751403329170259e+00,5.959953043447743237e-01,7.922573788358893143e-01
3.831982574749758896e+00,6.699322915707185411e-01,7.470293133804525310e-01
3.840216341866605987e+00,6.605070029654046548e-01,8.127038324428946803e-01
